2015/01/25 07:02:48.097 -----------
2015/01/25 07:02:48.099 API InitInstance 
2015/01/25 07:02:48.100 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:03:02.770 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:03:17.782 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:03:32.787 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:03:47.794 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:04:02.801 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:04:17.810 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:04:32.814 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:04:47.827 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:05:02.834 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:05:48.726 -----------
2015/01/25 07:05:48.727 API InitInstance 
2015/01/25 07:05:48.728 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:06:01.549 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:06:16.561 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:06:31.569 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:06:46.572 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:07:01.580 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:07:16.587 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:07:31.592 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:07:46.603 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:08:01.608 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:08:16.613 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:08:31.625 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:08:46.628 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:09:01.635 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:09:28.228 -----------
2015/01/25 07:09:28.229 API InitInstance 
2015/01/25 07:09:28.231 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:09:43.197 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:09:58.202 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:10:13.210 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:10:28.216 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:10:43.230 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:10:58.232 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:11:13.237 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:11:28.246 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:11:43.255 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:11:58.265 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:12:13.274 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:12:28.274 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:12:43.288 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:12:58.290 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:13:13.300 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:13:28.306 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:13:43.311 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:13:58.320 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:14:13.328 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:14:28.335 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:14:43.346 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:14:58.347 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:15:13.356 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:15:28.368 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:15:43.370 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:15:58.384 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:16:13.384 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:16:28.393 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:16:43.400 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:16:58.408 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:17:13.416 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:17:28.420 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:17:43.428 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:17:58.439 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:18:13.448 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:18:28.451 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:18:43.456 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:18:58.468 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:19:13.471 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:19:28.478 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:19:43.489 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:19:58.492 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:20:13.501 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:20:28.515 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:20:43.520 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:20:58.525 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:21:13.530 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
2015/01/25 07:21:28.554 SKOSQuoteLib_RequestServerTime   SK_ERROR_INITIALIZE_FAIL 
